text,label
"Clean, comfortable,single occupancy room for rent in Williamsburg. Short walk to JMZ or L train and only 1 stop into Manhattan on both lines. Surrounded by great restaurants and bars. Clean, comfortable bedroom in two-bedroom apartment. Full-sized bed, shelves and bedside table. Towels and linen provided.",0
"Enjoy beautiful Noe Valley in our 3 bd Victorian home! Entertain in our large kitchen, relax in our sunny yard with grill or stroll down 24th street to explore unique boutiques, farmer's market and fabulous restaurants! And since our home is in San Francisco, you're never more than a few miles from everything this amazing city has to offer. @",1
Private Room in New York City ARTIST LOFT.  Enjoy our eclectic  and creative environment and call it your home in New York City. Great private room in New York City ARTIST Loft. comfortable room in Big and bright artist loft. This is a new space,1
"Nice sized room with a queen sized bed, sharing a bathroom. I also list a master suite with private bathroom. @",7
"Our home is a very friendly and welcoming place. We love spending time over good food with new people so depending on your wishes - we'd be happy to hang out or leave you alone:) We have a lively 2 year old boy, live in nanny and a 10 year old girl. This room is at a very nice home full of light, breeze, colors and art located on the Westside of the City of Angels.  Our townhouse sits near the border with, what I think most interesting LA neighborhood, - VENICE BEACH.  There are good restaurants, bars, coffee shops, beauty salons, pilates/yoga and a bookstore walking distance or you can jump in a car and be at the beach in 5-7 minutes.    To get to the beach - you can just take a Left on Venice blvd. or we really like to take our street - Beethoven which turns into Rose avenue -- all the way to the beach.  It's a very scenic view and you pass on your way Whole Foods (great tasty and organic grocery store and deli), row of trendy good restaurants (on your Right around 5th ave) and interesting shops.  It takes about 10-15 minutes to bike to Venice Beach; 5 minutes to drive there and about 10-15 minutes to SANTA MONICA.  This location is also great for visiting interesting places all around LA  - take Venice Blvd, East to reach Holly",1
"Beautiful and cozy 2 level 3 bedroom apartment. Great for couples traveling together or families. Private rooftop, terrace and jacuzzi. Beautiful full kitchen and 3 bathrooms. Walk to Bay, 5 min walk to the restaurant area, 15 minutes away from the beach. @",0
"This fully renovated space has 2 bed/1bath, kitchen and living room. The master bedroom, bath and kitchen windows face a beautiful and woodsy backyard. Private entrance from back of the house and below our deck. We live upstairs and are renting our lower level 2 bed/1bath, kitchen, living room. The master bedroom, bath, kitchen face a beautiful and woodsy backyard. Private entrance from back of the house and below our deck.  This is our home and our family stays down there when it's not rented. We live upstairs so feel free to ask if you have special needs.  Washer and dryer and back yard. We can also have you over for meal/coffee if your schedule allows.  My husband David or I can be available to meet guests on arrival if our schedule permits. We are happy to answer any questions about different neighborhoods in Seattle, activities and where to eat/shop. Right around the corner is one of the greatest parks (okay, I'm biased, this is my neighborhood;)-Matthews Beach Park. Great playground for kids, swimming access to Lake Washington, Burke Gilman Trail and lots of picnic areas with grill. Bus #75 runs on Sand Point Way. The bus stops very close to our home on either direction. Stops are made i",2
"I'm going out of town for a week and thought I'd offer up my room. It's walking distance from the Hollywood walk of fame and the metro. Great for travelers or anyone who just needs a place. Comfy queen bed, desk, and your own bathroom. @",1
"This is a delightfully cozy apartment in a great location. Perfect for couples, solo adventurers, and business travelers. The kitchen is equipped with pots, pans and utensils for light cooking. There is a clawfoot tub in the bathroom and hardwood floors throughout. The space is very functional with a fold down sofa and extra linens to accommodate more guests.  The streetcar and multiple bus lines are right outside the door. Comfortable vintage apartment equipped with everything you'll need for a great visit to Portland! I provide fresh linens, a coffee maker and microwave, Television with DVD player, free WIFI and a charming space for you and your family to enjoy.",2
"- This is an apartment unit inside of a duplex building behind my house. - FREE on-site, secure parking (up to 2 spaces) with electric gate opener. - I have other listings!  If this one doesn't fit your  needs, click on my profile to view the rest. ______________________________________________________ KINDLY, PLEASE READ BEFORE SUBMITTING ANY QUESTIONS. ______________________________________________________ --> Approx 485 sq ft / 45 sq meters of living space. --> Private entrance so you can come and go as you please.   --> Equipped to accommodate up to four (4) people. --> Ideal for those who value clean, private, and affordable accommodations FEATURES: --> 1 queen-sized bed --> 1 futon couch (converts into full-sized bed) --> Free WiFi --> Clean towels and bed sheets provided --> Air conditioned bedroom --> Ceiling fan in every room + portable 20"" box fan --> Hair dryer   --> Iron and full-sized ironing board --> View of the ""Hollywood"" sign from the street!",4
"Description Very convenient  prime location, close to the  subway #7 train, convenient transportation and shopping are convenient. Bag check! Clean, quiet, safe, comfortable, convenient, can be described as quiet;  it is value for money. New Simmons and bedding. Bathroom, bathroom (bath towel, shampoo, conditioner, hair dryer, slippers) Ultra-thin LED widescreen TV,  Wireless free high-speed Internet access 24 hours hot and cold water supply Suitable for business and travel for a short stay. The guest room is beautiful, quiet, is the ideal place to rest. Go out there are all kinds of Chinese restaurants and north and south characteristics of snacks, around with  Korea, and other countries of the food everything. The Tel: (PHONE NUMBER HIDDEN) (SENSITIVE CONTENTS HIDDEN): TOM6562 (share with one person in the living room and bathroom)(parking garage next door)",3
"This is a cute 1-bedroom private apartment only a few blocks away from SE Division, which is loaded with great restaurants, coffee shops and food carts. Mt. Tabor Park is within walking distance. Division and Powell bus lines within 5 blocks. The space is newly remodeled with an incredible location near SE Division. The apartment is connected to the back of the home on the Woodward Street side and has everything you need to make your vacation comfortable. It has a fully equipped kitchen, bathroom and bedroom. The living room has a sleeper sofa for one additional adult or two children. Just remove the seat cushions and pull the handle up to pull out the sofa. There are additional sheets and pillows in the closet in the living room.",2
"Gorgeous 2 bedroom in central Chelsea location on the 20th Street.  The city is yours. We invite you to a clean and neat apartment with a private, full bath and a fully, equipped granite kitchen. The bedroom can sleep 2 people (queen size bed). The unit cannot sleep more than 4 persons. Free wifi.  The Highline, walking distance to Times Square,. NYC is at your fingertips with the subway, Penn Station and Grand Central Station moments away. Included with your stay you will be receiving complementary cocktails and appetizer at Megu a Modern Japanese Restaurant located in the Dream Hotel Meatpacking District.",2
"This is a private room in a 2 bed/1 bath. The apartment is spacious, cozy, peaceful, and has just about everything you need for your stay! Just a couple of blocks from the beach, restaurants, bars, and shopping. Spacious living room consists of a comfortable couch and an inviting global chair for relaxation/naps. Record player, TV (no cable but laptop hook-up available) and books available for your enjoyment. Fully equipped kitchen.",1
"Close to UIC,Down Town,Soldier Field,United center,hospitals,park,sper markets,5 minute walk to publicTransportation and Lagunitas brewery(with tours,food & live entertainment ) Private back yard",2
"Stay in one of the most fun and exciting neighborhoods in Chicago, yet have easy access to the main tourist attractions just 20 - 30 minutes away by public transportation.  My place is close to many cafes, restaurants, bars, parks and 2 blue line subway stops. It's in a great location! I am a 20-min bus ride to Magnificent Mile/Water Tower Place and the lakefront, or a 20 - 30 minute bus/train ride to Millennium Park and downtown (the Loop).  The bedroom has a full size futon bed in the private room. In addition to the private room the living room, kitchen and bathroom are available for guests to use. All guests will receive their own shelf in refrigerator and cabinets.  The apartment is close to 2 grocery stores (~10 minutes walking), so you can make your own meals if preferred. You will have clean linens and towels ready for you when you arrive. I have WI-FI (will give you the password when you arrive). Absolutely no smoking inside the apartment. The apartment is just 1.5 miles (2.4 km) west of Michigan Ave and Water Tower Place. It is in the heart of Wicker Park with Ukrainian Village to the south and Bucktown to the north. It's an 8 minute walk to two Blue Line stops (Damen or Division). The Division station is just three stops from down",2
"Lofted bedroom in the midsts of Brooklyn. Private patio to the room, couch on the bottom and lofted double bed sleeps two. Coffee shop across the street,located beneath two deli's. Two train stops just a stone's throw away and plenty of bars to hop! @",0
"@ WELCOME TO SAN FRANCISCO!  We're centrally located in SoMa, one of San Francisco's more interesting and totally fun neighborhoods! Breweries, Coffee Roasters, Nightclubs and amazing restaurants are all just 5 minutes distance or less!  Or just relax and enjoy our light-filled, victorian space. We're travelers at heart and love hosting other travelers! At our place you're going to get a local SoMa experience, not a hotel or typical tourist experience. We think that's one of the best parts of staying on Airbnb, and at our places around the US! : ) RED ROOM Your private room, the Red Room, has a queen-size bed, super comfortable bedsheets, a closet and a comfortable reading chair. WiFi access throughout the house! HOUSE The house is a historic 1902 Victorian. This is one of four rooms. The others can be found on the right under 'Related Listings':   Blue Room  Purple Room  Teal Room LOCATION  When you're ready to venture, there are abundant choices nearby sure to entertain every type o",5
"Our spacious duplex apartment is located in Williamsburg, close to all the best bars and cafs. The apt is a 2 min walk from the L train Lorimer stop. 10 min from Manhattan.  You will be sharing the apartment with three friendly females working in the TV industry, plus an equally friendly dog, little Diego. @",0
"This is a dream space for art lovers and those who appreciate beauty and intricate detail. Within 25 minutes of Union Square, Bushwick is the artistic and creative pulse of New York City. Right off the Knickerbocker M (1 block) and Dekalb L (4 blocks) subway stop.  2 lovely cats live upstairs :) @",2
Stunning 2 Bedroom apartment located in historic Stuyvesant Heights Brooklyn. This property is only for video and photo shoots. 125 per hour (minimum 4 hours) The price is based on the nature of your shoot.  Please answer the following questions: * How many people are in your cast and crew? * What specific parts of the house would you like to use?  * Is it a video or photo shoot? * How much equipment will you have? * What time would you like access? * What is your budget? It is available for video and photo shoots only.,1
"The Marina Top Floor Flat is located on a quiet street next to the Palace of Fine Art. The location is phenomenal, you are 3 blocks from trendy Chestnut Street shopping and restaurants; 2 blocks from marina green. It is so spacious and sunny. If you like outdoor, you will love this place.",1
"San Gabriel Valley,6,,,,,,,,,, @",1
"One bedroom in a 2 BR apt. It's 4 min walk to the 7-Train subway station which goes directly to Times Sq. Several nice eating places nearby, grocery store is exactly opposite facing across the street. Clean bed and house, shared bathroom. One of the best neighborhoods in Queens. Exactly 4 min walk from the 7-train station (46th St-Bliss St). The train connects directly to midtown Manhattan and Times Sq is 15 min away. The area has several good eating places you can just walk up to. There is a grocery store and deli exactly opposite the building across the street. This is one of the rooms in a 2 BR apt. The bathroom is shared. Feel free to use the shared kitchen which is equipped with all essentials. There is also a spacious living room where you can relax.",1
"Cute, comfortable and quiet room in a wonderful neighborhood. Not a place to party - but a relaxing place to return after a day of work or sightseeing. I have everything you need to feel at home. This is great home base for exploring Boston. An easy train ride and you are downtown. The guest room available is in my 2 bedroom, 1 bath apartment. I am on the second floor in a three-unit home. Parking on the street is free and it is easy to find a spot. My second bedroom is available for short or long stays. It has a very comfy, full size bed. I'm on the second floor and about a four minute walk from the Savin Hill T stop. From there, it's about 10 minutes downtown.  Savin Hill is a great neighborhood! Nearby you will find a few restaurants for breakfast, brunch, lunch or dinner. Malibu Beach is one block away and the HarborWalk is great for running, walking or biking. Savin Hill is like its own little village. Tennis courts and a playground 2 blocks away. Plenty of parking is available and easy access to I-93. This area makes everything very drive-able and easy for the T. I have a front and back patio for spending time outside. My kitchen and bathroom are equipped with everything you would need. The TV has Hulu and Netflix and there is Wifi.  I'll definitely provide coffee, and if there are other things I can grab you before you arrive, I'll do that, too. I work 9-5 downtown. Other than that, I'm kind of in and out. I'm pretty low ke",2
Trying to catch a glimpse of Pope Francis while he's in DC? Look no further! Our home is located just 2.5 miles (or one metro stop) from the Basilica of the National Shrine of the Immaculate Conception where he'll be conducting mass during his visit. @,0
"Guest bedroom available in spacious, modern & clean loft in Ukrainian Village/Wicker Park. Balcony and private rooftop for the summer! Dozens of award-winning restaurants and bars within walking distance.  Convenient public transport to O'Hare or downtown, quick bus ride directly to the United Center - check out my Bulls tickets deal! For work and leisure there is blazing fast 75 mbps wireless internet served through OnHub routing. Modern loft with high ceilings and lots of natural light. Hardwood floors except for the bedrooms. Granite counter-tops and modern appliances in the spacious kitchen. Complimentary coffee and in-unit laundry provided! Large balcony access directly off the living room and private lighted rooftop during the summer. Alexa integrated room - control lights, temperature and music through voice command.",6
"My place is close to Palace of Fine Arts Theatre, Chestnut St, Cobb's Comedy Club, Exploratorium, and San Francisco Art Institute. Youll love my place because of the location, the ambiance, and the views. My place is good for couples, solo adventurers, and business travelers. @",5
"Via6 is downtown Seattle's hottest new vertical community. This unit has 2 Bedrooms, 2 Bath, Washer & Dryer, Wifi and Sleeps up to 6. The building has a Fitness Center, Movie and Gaming Room, Outdoor Patio and Fantastic Dining on the ground floor. Via6 in Seattle is a brand new property for us, so we will have new photos as soon as possible. Visit our other listings to see how we typically decorate our units and to read our great reviews. Experience downtown Seattle's hottest new vertical community: the amazing Via6. Enjoy everything that Seattle has to offer: fantastic dining, vibrant nightlife, and exciting family activities. The Via6 is a fantastic home base for your perfect Seattle vacation! The Via6 property is centrally located on 6th Avenue between Blanchard and Lenora Streets. Everything you need is within walking distance and Seattle's excellent public transit system makes it easy to explore the city's wonderful neighborhoods. Via6: 2 Bedrooms with a king bed, a queen bed, and a queen-size pull out sofa  2 Full bathrooms  Sleeps 6  1000 square feet  Nearby Attractions:  Pike Place Market: 0.5 mile  Seattle Art Museum: 0.5 mile  Pacific Science Center: 0.6 mile  Space Needle: 0.7 mile  Experience Music Project:",1
"*** NEW LISTING SPECIAL DISCOUNT *** This is a virtually brand-new, high-end 4 bedroom penthouse home Dolores Heights with sweeping, elevated views of Twin Peaks. After staying here you'll realize why people do really leave their hearts in San Francisco! This house was recently renovated and just put on Airbnb -- hence the lack of reviews. Therefore, we're pricing it significantly below it's market rental rate for a limited time. The two master bedrooms have their own deluxe bathrooms, the other 2 bedrooms (which are also spacious) share a bathroom in the hallway. Additionally there's even yet another half bathroom next to the living room / entertaining area. This house is awesome for large groups or families, as it's quite spacious. And that's not even considering the amazing, private patios.  If need be you can comfortably fit more people on air mattresses (provided, just please request beforehand) and even the massive couches. With air mattresses in the living room + bedrooms you can comfortably fit 4 more people. The house has a bunch of other amenities such as a Nespresso cappuccino maker, in house elevator, garage with parking, fully wired in-house sound system (amazing sound), among a bunch of others.",3
"WILLIAMSBURG is noted for a new haven for young minds & artistic way of life, called ""Little Berlin""! ""WHOLE FOODS & APPLE STORE WITHIN 2-3 BLOCKS"" ""BEDFORD L TRAIN IN 2 BLOCKS!"" 24-HR DUANE READE & 4+ CAFES WITHIN 2-3 BLOCKS SUPER SAFE / QUIET NEIGHBORHOOD 2 BLOCKS FROM BEDFORD AVE., NO COMMERCIAL FRILLS DUPLEX SUITABLE FOR PRIVACY 1 QUEEN SIZE BED + 1 SOFA BED  LAUNDRY & SHAG STORE:) AROUND THE CORNER! BIKE PARKING RIGHT OUT WINDOW SHARING UPSTAIRS W/ ROOMMATE (kitchen, bathroom) This combo of 1 Queen Size bedroom + Sofa bed is IDEAL FOR 2 PEOPLE. It will be less comfortable for 3 people but you can have extra person for Sofa bed and can save a big budget. When you have the 3rd person, he/she can use the sofa bed in the living space (same floor as your bedroom). By ""sofa bed"" it means literally that you'd have to spread the sofa bed each time to sleep and might have to move furnitures a bit. Sofa bed is normally a hard bed, so it would be best if he or she is experienced with it. Still it would greatly save your budget, so that's a big plus! Pls note that this is a living area; furniture can be replaced or removed or rearranged, so there could be changes to the pictures listed.",0
"Our building is in the Bluff Park area of Long Beach and overlooks the Queen Mary and Catalina Island and situated between Belmont Shore and Downtown Long Beach. This ocean view unit is a beautifully furnished and has a full size kitchen! AS AN FYI: AIRBNB DOES NOT CHARGE THE SECURITY DEPOSIT TO YOUR CREDIT CARD, Its only reserved in the event of damages. @",1
"Our beautiful, sunny studio is perfect for a serene and cozy stay! Neighborhood is alive with poke bars, juice bars, French cafes for your days and hip bars for a fun nights out! Also comes complete with a gourmet kitchen, dining area and a water fountain to get your quiet time in. @",0
"Located by the 101 and 405 freeway, walking distance to restaurants.The The rooms are located on the 3rd floor of the condo. There is a full separate shower/restroom with double sinks. There in no kitchen, the entrance is from the restroom/shower. The unit is part of my 3 story condo, there is a door between the 2nd and the 3rd floor that separates between them. There is a separate entrance from the restroom to get inside the unit. There is no kitchen, but it does have a small fridge, microwave and a water kettle to make tea and coffee. The space is super clean, decorative, with wood floor at the bedrooms.  The bethroom has double sink , full beth and a restroom.",1
"This is a fun and cozy apartment in the heart of queens, very clean and quiet neighborhood. Minutes away from the train station that connects to the Big apple. Access to supermarket at a walks distance and some restaurants as well. Clean and cozy located on a quiet neighborhood",2
"Great room located in Bedstuy Brooklyn. Well lit, spacious, clean, and a short 5-8 min walk to the nearest subway. Room is located in a two story, four bedroom apt. Very large common area and kitchen available to any renters. Renters staying 7+ days will receive free laundry. @",4
"This beautiful, one-of-a-kind bungalow comfortably sleeps 5 and sits in a quiet neighborhood just a couple miles from Alberta, Mississippi, and Dekum Districts. Located squarely on the city's major bike arteries and minutes from the freeway, it's the perfect getaway for those looking to explore the city! Custom carpentry using reclaimed wood.  Cork flooring.  Professionally maintained gold-rated Backyard Habitat Certified garden.  Fenced backyard.  One queen and two full sized beds comfortably sleep 5.  Gorgeous built-ins including breakfast nook and entertainment center.  Off-street parking for up to two vehicles.  Pet-friendly.  Access to secure shed for storage of bicycles.",8
River Colony Condo's are located in the heart of Mission Valley and is centrally located to everything that San Diego has to offer!  All groceries and other necessities are within walking distance. @,0
"Lincoln park is Chicago's most iconic neighborhood. Stay in the best place, Close to Lincoln Park Zoo, Chicago Historic Museum, J Parker Restaurant and more places for eating, art, music, and shopping, close to Wrigley Field and 15min away from downtown. @",4
"Bright, quiet one bedroom flat in the heart of NOPA, one block from Alamo Square Park.  This San Francisco pied--terre is conveniently located between the Painted Ladies and Haight Ashbury, and short bus or cab ride to downtown or the Castro. Spacious, quiet living area, great for relaxing after a day of work or sight seeing.  Living room features modern furniture, with a wonderful southern exposure allowing in day-long golden California sunshine.",3
"This beautiful, STUDIO has everything you're looking for when planning you're getaway! Washer and dryer in unit. , parking for you to enjoy!! @",2
