text,label
"@ A one (single) bed room in wonderful Hackney Central. Close to lush London Fields (two minutes' walk) and bustling Broadway Market (five minutes' walk). The area is great for bars, restaurants, cafes, a micro-brewery and shops. If you're here on Saturday/Sunday there are several good local markets. Victoria Park -voted the best park in London - is seven minutes' walk away, and the City (Liverpool Street) is 20 minutes by bus or a 30-minute walk from the house. For the West End take a 10-minute stroll to Bethnal Green tube station, then a 10-minute underground journey to town.  What you get: Breakfast: fresh bread from local E5 bakery (the best bread in London I reckon) jam, homemade marmalade, marmite (any other requests?) juice (email your preference) cafetiere coffee and/or tea (builders/earl grey/greeen/camomile/mint) Room  single bed (very firm), fresh sheets, towels. TV  kettle (teabags/milk, etc on request) Bathroom power shower shampoo/shower gel/toothbrush on request Shared A none The area is lively, though the house is located in a quite cul-de-sac. There are plenty of great restaurants (Vietnamese, Turkish, Italian, Argentinean...), bars, including a micro-brewery, and cafes as well as two great parks nearby. The canal is also pretty lively at the weekend. @ Hackney Central overground - 7 minute walk London Fields rail - 2 minute walk Bethnal Green underground - 15 minute walk Buses to the City and West End - 1 minute walk. Small garden I'm generally here as I work from home and can be as engaged as you like. No pets No smoking (unless it's in the garden) No guests, unless pre-arranged with me The bed is a single bed, so it's single occupancy I'm afraid...",1
"Newly renovated 1 bedroom modern apartment with Queen size bed and modern facilities.  Located right next to trendy Star st dining and drinking precinct and close to public transport (Bus and Train). Apartment facilities include Fully equipped kitchen with convection stove top (no oven unfortunately), Wi Fi, keyless access, 24 hour guard post, cloths washer / dryer, air conditioning, cable TV and stereo facilities.   * Cleaning fee of HK 300 will be applied for all stays.   * If staying for longer than a week, cleaning can be supplied at an additional cost. none Star st dining and drinking precinct offers many different options and is a great area to grab a bite to eat.  Likewise, near by Ship Street offers some fantastic restaurants and bars.  There is a full listing of places to eat / drink left and things to do around HK in the apartment for you to review.  Enjoy! @ Located between Admiralty and Wan chai MTR (train stations) and close to public transport (Bus / ferry / taxi) with Pacific Place shopping mall only 5 minute walking distance, the apartment is perfectly located for individuals wanting convenience and ease of location. Transportation proximity: -5 minute taxi ride to Central -10 minute taxi ride to Airport Express terminal in Central -15 minute taxi ride to Macau ferry terminal -3 minute indoor subway walk to Admiralty station -5 minute walk to Wan Chai station -Queens Road Bus stop 2 minute walk  -Taxi rank 1 minute walk @ @ Please treat the apartment like it was yours.  No smoking allowed in the apartment.  No Pets.  If you accidentally break something, please let me know.",1
"This bedroom has a view that is unmatched in the city. And the apartment is at the top of the hill between the Haight, the Castro, and Cole Valley, everything is just a short car ride away from anywhere you want to go in SF. Very close to UCSF! One bedroom in a spacious three-bedroom condo that was built in 1949 and very well maintained. You'll be sharing the condo (including the bathroom) with 2 other folks. Beautifully appointed and very comfortable space. There is one other bedroom available on Airbnb in my home. For more details, please check out: https://www.airbnb.com/rooms/8406322 none Ashbury Heights is a lovely, upscale neighborhood in the heart of the city, at the top of the hill between the Castro, the Haight and Cole Valley. It's so quiet it's hard to believe it's so close to everything. And the views are spectacular. I have a day job, and so do our neighbors. Condo rules ask for quiet from 10:30pm-8am on weekdays, and 12am-9am on weekends. San Francisco Short Term Rental Housing Permit # STR-(PHONE NUMBER HIDDEN) Street parking can be tough during certain times of the day. But it's always easy to catch an Uber or Lyft to wherever you're going, since my place is so centrally located. Muni trains are about a 10-minute walk down hill. You're also about a 10-minute walk from Haight-Ashbury, Cole Valley and the Castro. You'll be able to use the kitchen (stove, fridge, microwave), the shared bathroom, the living room/dining area, the deck with view, WiFi, and laundry facilities. Your host will brew coffee every morning she's there. I am happy to help you find nearby restaurants or businesses, or help you catch a cab, a train or a ride share to wherever you're going. Or I can leave you alone if that's your jam. I like to have fun, but I don't bring it home. No pets or smoking. Please don't bring additional guests over without checking with me first. I look forward to meeting you!",3
"Between 2 and 5 June 2017 the Karneval der Kulturen takes place in Kreuzberg. On 4 June 2017 will be the famous street moving. This leads directly past the front door. For interested people a unique opportunity. However very loud;) Two room appartment in Gneisenaustrasse (Mehringdamm/Bergmannstrasse) Many bars, restaurants, cafes, clubs and shops in the neighbourhood. Perfect public transportation with U-Bahn (U6+U7) Bus M19+140 - 2 room appartment in the top floor (4th) (no lift/elevator) - one big size bed (160 * 200 cm) for 2 persons - one big size sofa (one person can sleep there) - big flat screen TV with Cable-TV (german), Blu-Ray-Player - kitchen (fridge, stove, water heater, coffee machine (nespresso), plates and cutlery) - bathroom with bathtub and washing machine WiFi ist available I'm available for questions or recommendations none Its in the heart of Kreuzberg. Many people from Berlin still live here for centuries. You have very nice and cheap cafes in every corner. There are wonderful bars and clubs but also beutiful little shops to by clothes or good food, very good restaurants. @ U-Bahn (underground): U6 + U7 Busses M19 + 140 @ @ @",2
"Perfectly located between Central Park West and Broadway. 1 Min Walk to Lincoln Center, Restaurants and Night life. You are conveniently located by major subway lines. Queen bed, comfortable sofa bed (couch/bed), full kitchen & bath. Elevator bldg. Studio is one room with a small cozy kitchen. This elevator building was previously a hotel. It's small, yet functional space. none Walk out of the apartment and see Central Park on one side of the street and the beautiful Lincoln Center to your right. Enjoy the liveliness of the city with the coziness of nature and park right at your doorstep. Pull out couch is extra comfortable, location is fantastic. Half a block away from Central Park, located near convenient shops, restaurants, and transportation. Subway lines: 1, A, C, B, D This location is the reason why I have this apartment, it is beautifully located in the best area of Upper West Side right next to Central Park. Columbus Circle is only 4 short street blocks away. Restaurants all around Broadway with many Taxis and other options. Right in between Central Park West and Broadway, location is ideal. Closets will not available for use I would be happy to make any recommendations in the area. I love New York City!! I'll be available by phone if needed during your stay. Clean and courteous. Pets are not allowed. Parties are not allowed.",0
"Completely renovated, spacious studio of 32 m2 in Haut Marais. Brand new, finished in September 2013. A beautiful apartment with delicately chosen design and colours for a relaxing and resourcing atmosphere, a peaceful retreat after a busy day in town. With double glazed windows facing the courtyard. The apartment is perfectly located in the heart of Marais in one of the cosiest and most demanded areas of Paris. Surrounded by historical buildings, cafes, food markets, numerous restaurants as well as art galleries and the best shopping streets in Paris, all at a walking distance. The apartment includes original features such as parquet and exposed beams, all repainted in white for a modern yet cosy feeling.  The apartment can accommodate up to 3 people with one very comfortable queen size bed for two people to sleep in and one convertible sofa, comfortable sleeping one person. Comes with high-quality bed linen, pillows and blankets. Extra pillows and blankets upon request. Towels are also provided. The luxurious bathroom includes a large walk-in shower space with a powerful rain-shower. none Located in the Haut Marais, our apartment is conveniently located (one of the best in Paris). - 10 minutes walk from the Market Place ""Les Enfants Rouge""  - 15 minutes walk from the historical Place des Vosges - 10 minutes walk to Centre Pompidou (the Modern Museum of Paris) - 5 min walk to Rue Montorgueil (a street with food markets, lots of cozy restaurants, cafes and stores) -15 minutes walk to, Hotel de Ville, Ile St Louis and Notre Dame - 5 minutes metro ride to Galeries Lafayette and Printemps (the 2 biggest department stores in Paris) We love our neighbourhood and know it very well so please don't hesitate to ask us for any advice or tips on great places to eat, shop or things not to miss. We'd be happy to share our hidden gems with you. Walking or by metro with 6 different metro lines. - Stasbourg St Denis (line 4, 9 and 8) - Reaumur Sebastopol line 3 and 4) - Art et Metier (line 3 and 11) - Temple (line 3 and 11) - Etienne Marcel (line 4) - Bonne Nouvelle (line 8 and 9) - Republique (line 3, 5, 8, 9 and 11) The entrance door is digit-coded for safety. The apartment is situated on the second floor. No elevator. Upon your arrival we will meet you at the apartment to hand over the keys and show you the functionality's of the apartment. - No smoking allowed - No animals allowed - Please be respectful to our neighbours especially when leaving and entering the apartment early mornings or late at night. - Please respect our home and use everything in the apartment with care. - When leaving the apartment please make sure to close the windows, turn of the lights and electrical appliances and lock the door.",2
"Stunning top floor flat in the heart of Notting Hill with a balcony overlooking the hustle and bustle of Portobello Market. Hip, light, quiet,comfortable and filled with chic art, perfect for a couple wanting to visit one of London's trendiest scenes The flat is owned by Robert Devereux, a successful entrepreneur, philanthropist and art collector. Robert lives in South Africa for the first three months of every year and has handed his gorgeous London space over to his assistant to rent whilst he is away. Robert is serious collector of contemporary Western and African art and the flat contains some of his favourite pieces. Simple, comfortable, trendy and entirely unique, the flat is   everything you will need for a great stay in the heart of West London. none On the doorstep of the infamous Electric cinema and Diner, and of Portobello's other bars, restaurants, coffee houses, stalls, shops, pubs, street entertainers and flower stands, yet this charming flat offers a peace and calmness from the bustle below. The flat boasts stunning views over parts of this lively area and is perfectly located within a 15 minute walk of Notting Hill Gate, Holland Park, Ladbroke Grove, Hyde Park, Westbourne Grove, Little Venice, Westfield shopping centre. Central London is a 10/15 minute taxi ride away and Chelsea 20. The flat is right on top of the world famous Portobello Market, so if you want to spend hours sifting through the antique and trinket stalls, then this is the place for you... The flat sits above Rough Trade Records, part of the fabric of Notting Hill since 1978 and is on the same street as the Tabernacle, Notting Hill's cultural and community hub. It is also right next door to Coffee Plant, which famously serves the best coffee in London. A fifteen minute walk to Notting Hill Gate and a five minute walk to Ladbroke Grove Tube station, the area is also extremely well connected by bus. There are also several Boris Bike stands nearby and taxis are plentiful in the local area. Westbourne Park overground is a 5 minute walk away as well, connecting you to East London and South. Guests have full use of the flat and all amenities within. The flat offers a fully functioning and equipped kitchen with dishwasher, TV, fresh linen sheets and towels, balcony, bathroom with a shower and bath, washing and drying machine, iron and ironing board, baby cot available on request, ipod dock with speakers, radio, full height mirror, lots of books to read, good storage and skylights to ensure the flat is bathed always in sunlight... You will be met by Caroline, Robert's assistant, on arrival and departure and she will be instantly contactable by mobile or email during your stay. We will be more than happy to provide recommendations for eating, drinking, shopping etc. so please just ask, throughout your stay. Other than that you will have complete privacy... Only one rule: no smoking in the flat, balcony only please...",2
"Quiet self-contained space on the bottom level of our modern home.  Lovely views, bushland backdrop and garden 2 mins from Maclean 15 mins to beaches and seaside villages or inland to country pubs. Our guests have enjoyed the clean comfortable spacious quiet environment we have. More than just a motel room. Just a touch of  class without the big expense. none Maclean is a delightful historic town in the magnificent Clarence Valley. We chose to live here because of its temperate climate,underdeveloped more natural surrounds,the powerful energy of the Clarence River and its access to both the coast and the country ambience. Quiet self-contained space on the bottom level of our modern home.  Lovely views, bushland backdrop and garden 2 mins from Maclean 15 mins to beaches and seaside villages or inland to country pubs. There is public transport but you are best to have your own transport. Bring your bikes and kayaks of course if staying for a few days. @ @ @",2
"@ The STUDIO 19m2 is located in ""Menilmontant"". This cozy and typical small Parisian studio apartment ( 19m2 ), is on the first floor of a nice building (without a lift). Fully renovated in 2010, You Will find everything you need to feel like home. There is a luxurious sofa bed (140 * 200), a bar and a functional kitchen. Linen is also provided. It is Located in the neighborhood of Menilmontant, very close to the Pere Lachaise Cemetery. This is much better than an average hotel not only because it is cheaper but also because you will have the chance of living like a real Parisian. This apartment is provided with a white and clean pillowcase, towels and sheets. I hope that you will enjoy your stay, and during this stay I will do my best to help you if you need any advice, taxi booking or else. Dont hesitate to ask me any question regarding the apartment and the organisation of your stay in Paris. Hope to see you soon! none @ @ @ @ @ Check in / out As long as you arrive during working hours, we will do our best to welcome you personally and explain you all the functional details of the flat. We will ask you to let us know as soon as possible your approximative desired check in time (or email us your flight/train details so that we can check if it is on time) and if possible your approximative desired check out time. Please also make sure that your cellphone works in France so that you can call or text us when you are approaching the apartment. Standard Check in time is 15:00 (03:00 pm) Standard Check out time is 11:00 (11:00 am) However we are flexible on times as long as we do not have any back to back check in/outs that conflict. No guarantee unless we have your precise arrival and departure details. For arrivals after 7:30 pm (19:30) and during the weekend, there are 3 options :  You can book a driver who will be waiting for you at your arrival at the airport or train station and will help you to carry your lugg",1
"My property is a fully new renovated studio, spacious (31 sq.m), cozy, bright and well equipped. This place is perfect for a couple visiting, students or professionals coming to work/study. The studio is very clean, comfortable and cozy! none The 19th is a vibrant place to stay in Paris, there are loads of things to do and it is very easy to access. It is a bit more popular than other areas making it slighly cheaper. @ Main attractions nearby: Sights: Park Buttes Chaumont, La Villete, Cit de la musique, Canal de lOurq, Philarmonie, Canal St Martin. Shopping: There are 3 supermarkets nearby. Downstairs there is a Franprix, a little bit further at the Av. Jean Jaures and Rue de Crime there are two Monoprix. Also downstairs there is a bakery where you can buy fresh French baguette and patisseries  Activities: There are concerts available all the time at the Cit de la Musique (URL HIDDEN) Le trabendo, (URL HIDDEN) Le pont Ephemere. (URL HIDDEN) Also, you can visit la Cit de sciences et de lindustrie. (URL HIDDEN) The park de la villete has a lot of attractions for kids. There are two cinemas MK2 near Jaures station. You can also rent a little boat downstairs, grab a pic-nic and have a tour near the canal. No license required. It is really good plan  (URL HIDDEN) Restaurants and bars: Near the canal you find plenty of good bars such us Paname, Bar Ourq, Belloushis, Peniche Damemoiselle. Most of rest Whole property I passionated for discovering new places so I can help guest to discover Paris and guide them. Guests are asked to be responsible, clean and caring.",1
