text,label
"Beverly Hills area, very safe, quiet and centrally located.  Walking distance to Rodeo Drive and Beverly Hills luxury shopping.  Lots of restaurants at all price levels.  Close to tourist attractions, beaches, airport, Hollywwod,  downtown, studios. My husband and I love to travel.  Renting our home helps us to take long trips now that our kids are grown and we're retired.  We're new to AIRBNB, so we don't have a lot of reviews, but we're proud of our home.  It's very comfortable and in a fabulous location right near Beverly Hills.  It's convenient but also very pretty here and a great area for shopping and sight-seeing.   Located in the beautiful Beverlywood neighborhood, this home is just 2 blocks from the Beverly Hills city limit and a short walk to lots of restaurants and shops.  We are walking distance to Spago's and many other restaurants in Beverly Hills, the Museum of Tolerance, the Kabalah Center, etc.  We are also very close to Century City, Culver City, Fox Studios, Santa Monica, Cedars Sinai and UCLA. This is a low crime area. This 2,500 sq. ft. apartment has central heating and air conditioning.  All utilities, WIFI and cable TV are included, with HBO, Showtime and Cinemax, .  There's a brand new 51"" Plasma HDTV smart",1
"It is located in a very quiet residential neighborhood but it's only a few blocks away from Chinese market and all the Asian restaurants and cuisines you can dream of to have in US.  The master bedroom of the house is very spacious and bright.  The master bedroom includes an attached full bath and a walk in closet.  If you are traveling with luggage and shopping bags, no worry because you will have plenty of spaces.  A 40' inch LED TV with Chinese channels and WiFi are in the room. @",1
"Located in a cul de sac close to PASADENA &  GLENDALE, great views, restaurants and easy access to public transportation . Youll love my place because of the privacy, outdoors space, the quiet neighborhood. My place is good for couples, solo adventurers, business travelers, and small families (with kids). Coin Washer/Dryer Walk up one flight of stairs to bottom unit of Villa, super quiet. 1 bedroom plus living room with awesome full size sofa/bed. Lots of trees (and leaves) sorry we try to get them all but it's a huge tree and gardener come only once a week on Thursdays. Important NOTE: Space is small it it won't accommodate 4 adults unless 2 are couples or relatives.",3
"Since 2005, Old Town Place has been providing affordable housing for international and American students, interns and young professionals. Most of our residents come to San Diego to attend top intern-ship, language schools, universities and colleges. Old Town Place offers monthly, individually leased, private bedrooms in shared, furnished 2- and 4-bedroom apartments and a 3-bedroom house. Residents are American and international students, interns and young professionals.Long term residents are welcome too.  Centrally situated near downtown San Diego, the property is located 6 blocks from the Old Town Transit Center from where you can take the bus, trolley, train.  If you are driving, you can get to most attractions, beaches, shopping malls, downtown in 15 minutes or less.  Old Town Place has free parking onsite. Every apartment/house has one bathroom and one fully outfitted kitchen.  The bedrooms are fully furnished with bed & bath linens, television, bed, desk & chair, bedside table, wardrobe/closet.  There is periodic maid service of the common areas of the apartment/house (kitchen, bathroom, living room).   Rental rates include: utilities (water, gas, electricity), wireless internet, cable TV and periodic maid service of the com",0
"Beautifully renovated home with all new furniture, garage parking, patio and HOA amenities with tennis court, swimming pool and jacuzzi. 60"" Flat screen TV, Granite countertops, Hardwood floors. Great neighborhood, quiet at night, quick jump to 805 Beautiful newly fully renovated home with all new furniture.",0
"I moved to Houston a year ago, I liked my old location in downtown LA and did not want to lose the space so I decided to put it on airbnb so that when I come back I can stay at the best location in LA so enjoy while I am away! NOTE: currently there is construction going on M-F from 8 am to 5 pm so during the days you can hear it clearly, it is the most up and coming place but in this area and around downtown LA during the week you will hear noise. At night it is very  very quite it is cozy and you will be alone there by yourself and your guest , I live out of state so I try to keep it rented while I am away",2
"Enjoy this newly renovated, spacious 1 bedroom apartment, located in the LES. Close to all the fun of bars, cafes/restaurants, the Lowline, East River park, shopping...you name it - we've got it close by.  The F/M/J/Z subway lines are close by, with a Citibike dock right across the street. @",2
"Stay in this beautiful spacious studio apartment, only 10 minutes from DTLA, 15 minutes from Hollywood, and 20 minutes from Beverly Hills. This is much better than any hotel deal you will find, with amenities like a pool, jacuzzi, gym, 24-hour check in and more. The unit is a spacious studio, with living area as well as full kitchen and bath. With air conditioning and heaters, including a bathroom heater, this space is very comfortable and comparable to any 3-4 star hotel you will otherwise pay much more for in the city. The apartment building is very secure, and has 24 hour surveillance, and 24 hour security posts. And being on the third floor of an enclosed apartment also adds to the safety.",2
"New luxurious one bedroom +loft apartment in the heart of Glendale with walking distance to all main city attractions such as Americana at Brand, Porto's Bakery, 85C and Glendale Galleria. Set in a luxurious setting with gym, pool, outdoor theater, and Jacuzzi. The apartment is spacious with high ceilings and modern amenities. Easy access to freeway; short drive from Hollywood, Downtown LA, Dodgers Stadium, Universal Studios and famous Griffith observatory. It's a one bedroom +loft type of apartment. The room is an open space on the upper floor entirely for you. A great safe place for a traveler, a working professional, or a student who needs a clean & quiet temporary place to crash. The apartment is smoke free. No random overnight guests, and/or parties. No pets. The bathroom is shared but all shared areas are super clean. Set in a luxurious setting with gym, pool, outdoor theatre and Jacuzzi. You'll be able to recharge and explore the neighborhood, or visit different parts of Los Angeles.",0
"Villa Nelly is a lovely, comfortable, **smoke-free**, one-bedroom basement apartment in the heart of historic Capitol Hill. Located a short walk from the U.S. Capitol and the National Mall, Villa Nelly provides easy access to transportation, entertainment, and tourist sites.  We strive to make your visit pleasant by providing a flexible hosting style. And, at Villa Nelly we believe that no matter who you are, where you're from, who you love, or who you worship everyone belongs. #weaccept Renovated in 2016, Villa Nelly is a pleasant, light-filled, one-bedroom basement apartment that offers comfortable accommodations for up to four guests. The apartment has a separate entrance, and the basement apartment is completely separate from and not connected to the main house via an interior staircase; guests can come and go as they please. Villa Nelly is 100 percent smoke-free. Guests are not allowed to smoke or vape in the unit or within 20 feet of the property. For your convenience, the space includes: - Double/full-size bed with a hypoallergenic down-alternative mattress topper and a hypoallergenic down-alternative duvet - Sofa bed - Hypoallergenic down-alternative firm and soft pillows - A well-equipped kitchen with a full-size refrigerator, cooktop/stove, oven, and microwave - Coffee maker, toaster, and Magic Bullet blender - Dining table that seats four persons - 39-inch television set with an Amazon Fire TV stick - Washer and dryer",8
"My family adores Burbank because we get to enjoy all that LA has to offer yet avoid the congestion that exists in most of the City . This 2BR apt is in a residential neighborhood near the foot of the Verdugo mountains by beautiful downtown Burbank. Our home is set up for a family. It has elegance, yet comfort that the whole family can enjoy.",1
"My place is close to Freeway, bustop, Miramar college, Lake Miramar, pond, library, shopping, restaurants, banks, market, beaches.. My place is good for couples, solo adventurers, and business travelers. @",2
"Amazing deal offered by owner of luxury suite hotel condominium located in Ghirardelli Square in San Francisco. Three bedrooms and bath, gourmet kitchen, dining area, living room with fireplace. Full service amenities provided including breakfast daily, wine and cheese reception every evening and house car to locations in 2 mile radius. Valet parking for two cars included. At time of booking the unit reserved may be be configured differently than appears in photos. @",1
"Large room in a huge, clear and clean house. You are close to supermarkets, bus stops and everything you need. Enjoy the best of Hollywood and have a peaceful stay. There are two full size beds in the bedroom. @",1
"Newly furnished 2 double bed 2 bath (one en-suite) in the heart of vibrant East Village.  Spacious living area with large TV + wifi, kitchen area with everything you need.  Washer/dryer.  5min walk from subway. In the heart of East Village this newly renovated 2 bed 2 bath apartment has everything you need for a comfy stay.  WiFi, Large TV, Kitchen with Washer/Dryer",1
"Available April 18th-22nd only. Marathon week. Located right in the heart of it all, walk to many attractions. Close to public transportation. Onsite parking available for additional fee. Beautiful historic building @",0
"Amazing views from this immense 3 bedroom/ 2 bath flat on El Camino Del Mar. The flat includes a living room, library room, dining room, wet bar with sink, 2 full bedrooms, 1 smaller bedroom, kitchen, 2 full bathrooms, and a roof top deck. Spacious patio deck, library with over 300 movie and show selections, wet bar, large living room with views of the Pacific Ocean, Sutro Heights and Lands End Park. Adequate outside parking most of the time.",1
In the heart of boston @,2
"My husband & I live in a beautiful newly renovated 90 year old Craftsman style home in the Broadmoor section of Uptown. Easy access to all of NOLA's attractions. On the ground floor, we've created a peaceful, private studio sanctuary for 1-2 guests. Scroll down to the ""Getting Around' section below for distances to NOLA attractions including French Quarter. Parking is always available on our street, which is quiet, safe, and well lit.  Our cozy guest suite with private entrance, queen size bed, kitchen, and bathroom is peaceful, elegant, sunny, and clean - designed to be a sanctuary for you to relax on your visit to New Orleans. It's sized perfectly for one or two people. There is also a private outdoor patio space with umbrellas at the entrance to the suite with seating for two.  The queen size bed is brand new, and is the same comfortable mattress as Marriott Hotels.  Kitchen and all appliances are brand new including granite countertops, sink, refrigerator and freezer, stove/oven, range, microwave, coffee grinder, french press, coffee maker, electric tea kettle, toaster, knives, pots & pans, utensils, wine opener, blender, Brita water filter. I also stock the kitchen with snacks for you to eat during your stay. The dining table",4
"Beautiful, recently renovated guest house situated right next to salt water pool. Outdoor patio with bar, large seating area, television, and grill. PERFECT FOR PARENTS VISITING STUDENTS! Located across from Audubon Park, walking-distance to Loyola University, Tulane University, Audubon Zoo, direct access to streetcar on St.Charles, blocks from Magazine St. Located in the safest neighborhood in Orleans Parish, with 24-hour private patrol & house is equipped with camera surveillance and alarm. Home is an original Victorian dating back to the Oak Alley plantation time, built in mid-1800s. All renovations are done with respect to the original architecture and integrity of the house. Live like a true New Orleanian at our beautiful Southern getaway.",2
"Architecturally Important, 1918 Historical Former Celebrity Compound In The Hollywood Hills.  This Vintage Mediterranean Is Dripping In History And Character.  Walled And Gated Courtyard, Turret Entry, Stunning 2 Story Living Room, Arched Doorways/Windows, Curved Ceilings, Moldings, Original Period Tile, Stained Glass Windows, Wrought Iron, Hand Carved Staircase, Beautiful Garden. Step Back In Time In This Astonishing Property And Enjoy The Peace And Tranquility Of This Extraordinary Hacienda. Incredible Views Of The Hollywood Hills And Downtown Los Angeles Whilst Being In One Of The Most Central Locations.",1
"Beautiful Los Feliz home with indoor/outdoor feel thanks to patio deck, huge backyard, lots of light all day long, views of the hills from the living room. All of this on a charming tranquil, quiet street, yet just 3 short blocks to neighborhood shopping, cafes, restaurants and more! A perfect house for a couple. small family or an individual traveler looking to spread out in a a classic Los Angeles home in the heart of the gorgeous Los Feliz neighborhood!  Located centrally in Los Feliz, right between Hollywood and Silver Lake/Echo Park. Walking distance (yes walking, in LA! It can be done!) to movie theaters, restaurants, cafes and bookstores on Hillhurst and Vermont. Cook on the outdoor grill, lie in the hammock, sip Chardonnay al fresco on the deck and lounge in our updated, well maintained, adorable Los Feliz home. Beautiful view of the hills and Griffith Observatory from our front window. There are two full bathrooms and two separate living spaces: a master bedroom in the back with king size bed and private bathroom; and there is also an incredibly comfortable queen sized couch in the living room which is perfect for a 3rd and 4th individual. While the living room is a shared space, the two setups are separate enough to accommodate 2 couples or one couple and",1
"This is an immediate view with some design flair. A spot perfect for a couple or a small family to explore the city with. Bring your walking shoes cause Nob Hill is full of sights and inclines! 6 or so blocks from Union square and the BART you will find yourself overwhelmed with plenty to do and see. Within an ear shot of Geary and Polk street you can peruse the bar scene and try all the local brews. The apartment is filled with little details for you to enjoy, and one of the best beds ever! It is colorful and fun. With great lighting in every room. You will be able to relax and watch all sorts of media or listen to the vinyl player and dance in the moonlight. There are BBQ pits in the courtyard and a very easy to find gym onsite.",2
"Get away from the big city in this gorgeous and very quiet Topanga Canyon guest house. Surrounded by nature, enjoy the gardens and mountain views. This is the perfect place for anyone looking for calm, beauty, and serenity. The Space Nestled in the heart of Topanga Canyon, this 1 bed, 1 bath with living room and basic kitchenette has everything you're dreaming of for a romantic or quiet experience. Spotlessly clean and recently remodeled with reclaimed wood floors and modern appliances, living room with two sofa beds, large flat screen TV with cable access, high speed internet, heating and air conditioning. Bathroom has shower and small tub, with a glass ceiling through which you can look at the sky, trees and stars. Washer and dryer in main house, available Monday, Wednesday and Friday if needed.  Take a walk through the several acres of this large property, lushly planted with ancient california oaks, palms, peppers and cedars, plus lemons, oranges, apples, figs (in season), succulents and flowers. Or enjoy a game of basketball or ping pong, and cool down in the heated swimming pool/swim spa. Please do not forget to walk out and admire the majestic mountain views at Sunset. Meditate, breathe, be part of",6
"My place is close to Daruma Sushi + Sake New Season's Market Kennedy School Fire on the Mountain Smallwares Motivasi. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups. @",0
Beautiful Master Bedroom with private bathroom in Mission valley. Gated resort-like community with pool & fitness. 15 minutes to DOWNTOWN and BEACHES. 5  minute walk to Trolley. 10 minutes to famous Fashion Valley Mall. My car available for extra. Very Spacious Masterbed room with plenty of windows for wonderful San Diego sunshine. Comfy Queen mattress.  Private bathroom with shower and bathtub.,1
